Original Tweets
~~~~~~~~~~~~~~~
H---UniqueAfrika (Wed, 19 May 2010 23:35:51 +0000):	Omg usually I hate my job but for some odd reason I'm having a blast. #whosmad lmaoooo
lele647 (Fri, 21 May 2010 18:56:38 +0000):	@BrookeLogan09 you know I dont watch night time TV, LOL hubby has the remote when he comes home and i play on my computer,
lele647 (Fri, 21 May 2010 18:57:07 +0000):	@BrookeLogan09 this weekend I will BBQ but I might go to the river (delaware) would love to go to 6 flags
lele647 (Fri, 21 May 2010 18:58:22 +0000):	RT @TheRealLaine: #FF @wafflesgirls @gig4462 @lele647 @MyLifeAsAimee @JCDarkAngel @msresterm &gt; HUGS baby
lele647 (Fri, 21 May 2010 18:58:47 +0000):	@liferevolving it is just too much to take the kids to the phillies, LOL
lele647 (Fri, 21 May 2010 19:01:19 +0000):	@liferevolving you know my 3 boys are 18 19 16, OMG the food alone would kill us!! LOL We go to the minor league games
lele647 (Fri, 21 May 2010 19:01:40 +0000):	RT @BrookeLogan09: am interested to see how Adam faked his death.. #YR &gt; I figured out who the dead guy is I think, LOL
lele647 (Fri, 21 May 2010 19:02:11 +0000):	RT @dentaldiva1: @webdesigniinc oh karl lol &gt; 2 more members of my CBS daytime TV family!!! #FF
lele647 (Fri, 21 May 2010 19:02:52 +0000):	@BrookeLogan09 if they screw with our #YR there is going to be some trouble!!!! LOL
lele647 (Fri, 21 May 2010 19:05:15 +0000):	@BrookeLogan09 i cant either, to be honest i had forgotten about it.
lele647 (Fri, 21 May 2010 19:07:30 +0000):	It official I LOVE www.postcrossing.com!!!! I got my forst 2 postcards today
lele647 (Fri, 21 May 2010 19:09:54 +0000):	@liferevolving can you feel this LOVE? XXXXXX LOL
lele647 (Fri, 21 May 2010 19:11:20 +0000):	@BrookeLogan09 LOL like at 1230 at night i am in there with a spoon drinking it!! Makes a lot so you can share! LOLgive me a minute hunny
lele647 (Fri, 21 May 2010 19:15:07 +0000):	@PaulBritPhoto #FF How are you sweetheart!!!
lele647 (Fri, 21 May 2010 19:15:57 +0000):	@liferevolving @BrookeLogan09 @dentaldiva1 eating these new Lays Tangy BBQ chips, they are really good!!!
lele647 (Fri, 21 May 2010 19:16:20 +0000):	@liferevolving LOL I dont even want to know how much a beer is now!!!
lele647 (Fri, 21 May 2010 19:19:01 +0000):	@BOOK4CHANGE ---&gt;&gt;&gt; #FF FAV, always puts a smile on my face! *grinning*
lele647 (Fri, 21 May 2010 19:21:32 +0000):	@gigi4462 GF we have been saying this since he died!!! How was your day, they released me from TJ, always at 100, WTF
lele647 (Fri, 21 May 2010 19:22:25 +0000):	@PaulBritPhoto Oh I hope everything will be okay, we had some good rain and its not too hot, so no warnings yet. Anything fun this weekend
lele647 (Fri, 21 May 2010 19:23:43 +0000):	@BrookeLogan09 It is soo good, I made a new batch today, LOL yes I am spooning it!!!, alot of ingredients, but very good!
lele647 (Fri, 21 May 2010 19:24:06 +0000):	RT @TheRealLaine: I KNEW IT! RT @gigi4462 @lele647 awww. thanks friend. Adam is ALIVE!! &gt; LOL he was too good to let go
lele647 (Fri, 21 May 2010 19:24:35 +0000):	@BOOK4CHANGE KIDS? I know. Mine are adults, only 1 left and hes 16
lele647 (Fri, 21 May 2010 19:25:28 +0000):	@PaulBritPhoto i kinda want to go to six flags!! But I doubt it, tons of money to take the whole family, maybe next weekend
lele647 (Fri, 21 May 2010 19:26:42 +0000):	@BOOK4CHANGE SAVOR that time pumpkin!! right now I am about to kill them all, yes all boys too! I wish they could be young 4 1 day again
lele647 (Fri, 21 May 2010 19:27:23 +0000):	@BOOK4CHANGE just 1 day, i cant got through that shit again, LOL puberty ahhh its fri!! LOL no more teen talk, any plans this weekend
lele647 (Fri, 21 May 2010 19:28:23 +0000):	RT @StubbyDogs: Join the petition for maximum penalty in the case of pit bull dragged to death http://bit.ly/9ZWwne? &gt; iwould kill someone!
lele647 (Fri, 21 May 2010 19:30:49 +0000):	@PaulBritPhoto its really sad, we had season tickets but sold them, Paul the price to eat and drink, we could not ever go!!
lele647 (Fri, 21 May 2010 19:31:52 +0000):	@gigi4462 follow me on @lele647nj when i got o jail i am there, i need to switch the pic though to a diff one from lele647
lele647 (Fri, 21 May 2010 19:33:31 +0000):	#FF FAV @FijiCollin @SoxFan24 @gparcels @DW034@TheDavidBowers @HoldemTalkRadio @rockingjude
lele647 (Fri, 21 May 2010 19:34:19 +0000):	@PaulBritPhoto we have hershey park in PA, but I have never been, about 2 hours away are more reasonable parks, new coaster at 6 flags thou
lele647 (Fri, 21 May 2010 19:34:51 +0000):	@ellepiari had a house fire, LOL I want to replace it I have looked everywhere
lele647 (Fri, 21 May 2010 19:36:00 +0000):	@liferevolving LOL too bad you cant sneak it in!!! maybe a few airplane bottles, LOL
lele647 (Fri, 21 May 2010 19:36:28 +0000):	@gigi4462 I am looking at TJ now, how did school go hunny? Yes at 100 every damn day!!!
lele647 (Fri, 21 May 2010 19:37:31 +0000):	@PaulBritPhoto I have never been there either, never took the kids to disney always 6 flags, but we like busch gardens, LOL
lele647 (Fri, 21 May 2010 19:38:37 +0000):	@PaulBritPhoto hehe, if 6 flags had covered parking i could bring a picnic basket, my daddy did that in ATL when he took us, love coasters
lele647 (Fri, 21 May 2010 19:40:02 +0000):	@liferevolving LOL. I dont see them searching everything, but i havent been to a game in a while
lele647 (Fri, 21 May 2010 19:44:04 +0000):	@liferevolving LOL next time you go kid free, you have a plan!! LOL You will have a great time, beautiful weather for baseball!!
lele647 (Fri, 21 May 2010 19:44:15 +0000):	@SoxFan24 how are ya hunny?
lele647 (Fri, 21 May 2010 19:49:18 +0000):	@SoxFan24 i am loving this weather!! SO nice got burned yesterday!! whats up this weekend?
lele647 (Fri, 21 May 2010 19:49:48 +0000):	@liferevolving that sounds like a perfect night!! You think your niece will like it?
lele647 (Fri, 21 May 2010 19:50:22 +0000):	@ellepiari i have I will call that is a good idea, it was part of the aquarium music, ahh i love aquarium music
lele647 (Fri, 21 May 2010 19:51:52 +0000):	Here is a hint, if you follow me on twitter, you at LEAST have to have a profile description. If not dont waste you time NO follow back #jgf
lele647 (Fri, 21 May 2010 19:53:17 +0000):	@liferevolving cool, the fireworks will be great!!! Oh I forgot about that, we usually have fireworks around here too, my dog hates them
lele647 (Fri, 21 May 2010 19:53:45 +0000):	@gigi4462 that is what I thought hunny! My kids too.
lele647 (Fri, 21 May 2010 19:54:25 +0000):	@SoxFan24 i have a durango and I cant give it away!! LOL
lele647 (Fri, 21 May 2010 19:56:10 +0000):	@liferevolving oh talk to her about it, if she doesnt want to see you can leave ahead of the traffic!
lele647 (Fri, 21 May 2010 19:57:06 +0000):	@SoxFan24 mine is 7 years old under 50000 mile, hubby drives on weekends. I cant do anything with it, what kinda car does she have?
lele647 (Fri, 21 May 2010 20:00:05 +0000):	@SoxFan24 mine gulps gas!! I bought it for the kids. lOl I want a jeep, a real jeep!!
lele647 (Fri, 21 May 2010 20:01:11 +0000):	@liferevolving I try to park on the street! LOL I remember once took 2 hours to get out of 4th of july fireworks
lele647 (Fri, 21 May 2010 20:02:30 +0000):	@BOOK4CHANGE HUGS sweets!! Glad I make you LOL
lele647 (Fri, 21 May 2010 20:06:08 +0000):	@ellepiari i def will! what are you doing tonight?
lele647 (Fri, 21 May 2010 20:06:38 +0000):	@liferevolving oh well thats good! I kow in philly it takes forever, when are you leaving?
lele647 (Fri, 21 May 2010 20:08:07 +0000):	@SoxFan24 LOL i need a pool!! I wish my back yard was bigger!!
lele647 (Fri, 21 May 2010 20:08:25 +0000):	@Reward_Mall HUGS hunny! Hope you are having a good one!
lele647 (Fri, 21 May 2010 22:04:05 +0000):	@SeanCAJ hey baby!! lets see if i am put of jail!!! how are you sweetheart? #FF MOST FAV
lele647 (Fri, 21 May 2010 22:14:22 +0000):	@SeanCAJ I know we always miss each other. Whats up this weekend hunny?
lele647 (Fri, 21 May 2010 22:22:40 +0000):	@SeanCAJ oh yes my 2 oldest kids are graduating next month!! I cant believe it. I am having a BBQ this weekend, i hope
lele647 (Fri, 21 May 2010 22:29:48 +0000):	@SeanCAJ oh go hunny!! I dont like basketball but i would go! Yes lol i made my BBQ sauce, I am ready to go!
lele647 (Fri, 21 May 2010 22:31:03 +0000):	@SeanCAJ I always go to twitter jail! LOL
lele647 (Fri, 21 May 2010 22:34:50 +0000):	@SeanCAJ Oh we dont go out on FRI, hubby time to relax. We are finally getting good weather, i need my fishing license
lele647 (Fri, 21 May 2010 22:43:54 +0000):	@Whiteboy_Slim hey sweetie!! How are you?
lele647 (Fri, 21 May 2010 22:44:22 +0000):	@SeanCAJ i would love to go fishing!!! But I catch and release
lele647 (Fri, 21 May 2010 22:45:17 +0000):	@ellepiari thanks sweetheart!! sent you a dm i was in TJ
lele647 (Fri, 21 May 2010 22:46:09 +0000):	#FF FAVS @hypyklrz @GameTight_4life @GumBootSally @SaySheNevaBeen @nursemom90 @SlimTower @SeanCAJ @PhiCar @WITHMANYTALENTS
lele647 (Fri, 21 May 2010 22:46:52 +0000):	@marley1964 --&gt;&gt; #FF FAV!! Hope you had a good day darling
lele647 (Fri, 21 May 2010 22:53:04 +0000):	RT @SeanCAJ: @BMoreGoHard @kalnok @BigBlendMag@Musica9 @AlejandroLAJ @TamaraSchilling @HoldemTalkRadio @SassiVirgoBabe @riotheyneedahit #FF
lele647 (Fri, 21 May 2010 22:53:24 +0000):	RT @TruthsCompany: @enneagramlovers @makemorebeauty @lele647 Welcome!! :0) &gt; Thank you!
lele647 (Fri, 21 May 2010 23:08:46 +0000):	@SeanCAJ LOL that was funny i just figured out why i feel sick
lele647 (Fri, 21 May 2010 23:09:35 +0000):	@SeanCAJ t was senior citizens day at the grocery store yesterday, a bunch of PPL were Coughing and sneezing
lele647 (Fri, 21 May 2010 23:23:50 +0000):	@MomsofAmerica --&gt;&gt; A MOST FAV #FF HUGS sweetheart
lele647 (Fri, 21 May 2010 23:38:22 +0000):	@SeanCAJ baby i was fine until i went grocery shopping, i just feel a cold coming on
lele647 (Fri, 21 May 2010 23:39:01 +0000):	@RiWrites @SeanCAJ @MomsofAmerica @WatkinsLadybeth #FF HUGS
lele647 (Fri, 21 May 2010 23:39:20 +0000):	@MomsofAmerica LOVING this weather!!!
lele647 (Fri, 21 May 2010 23:42:58 +0000):	@MomsofAmerica I got burnt yesterday!! LOL I am 2 tan!!! front tan back white and glowing, whats up tonight sugar?
lele647 (Fri, 21 May 2010 23:43:21 +0000):	@Pianolady32 HUGS baby I hope you ahd a great day!!!
lele647 (Sat, 22 May 2010 00:03:41 +0000):	@SeanCAJ LOL I hope i dont have to go to the doctors! Hey i got a tan yesterday
lele647 (Sat, 22 May 2010 00:04:01 +0000):	@MomsofAmerica LMAO no kidding i have to lay out on my back, i hate that
lele647 (Sat, 22 May 2010 00:06:13 +0000):	@Pianolady32 oh that sounds like fun!! which one sweetie (museum)
lele647 (Sat, 22 May 2010 00:06:29 +0000):	@WatkinsLadybeth I am good so far a bit of acold, how are you
lele647 (Sat, 22 May 2010 00:13:59 +0000):	@SeanCAJ LOL yes I layed in my backyard!! No good clouds today, did i send you the pic of my cool ass cloud
lele647 (Sat, 22 May 2010 00:14:29 +0000):	@WatkinsLadybeth lets hope i feel better tomorrow, how was your day?
lele647 (Sat, 22 May 2010 00:14:59 +0000):	@MomsofAmerica I dont either, but what choice did i have, i was white, so white I glowed LOL
lele647 (Sat, 22 May 2010 00:16:13 +0000):	@SeanCAJ let me send it baby it was awesome, i jusy thought it was a cool cloud tell me what you think is inside it
lele647 (Sat, 22 May 2010 00:19:35 +0000):	@MomsofAmerica LOl I tan really well, LOL I was glowing, not even my sunglasses helped, whats up tonight hunny
lele647 (Sat, 22 May 2010 00:19:57 +0000):	@WatkinsLadybeth here too, very nice!! wahts up tonight?
lele647 (Sat, 22 May 2010 00:26:23 +0000):	@WatkinsLadybeth hubby is making his banana pancakes
lele647 (Sat, 22 May 2010 00:26:54 +0000):	@SeanCAJ LOL it is BT a frog and a rabbit, i think its a bunny!! LOL really that was a cool pic
lele647 (Sat, 22 May 2010 00:28:12 +0000):	@WatkinsLadybeth LOL hubby has the remote, now my neighbor is mowing his lawn
lele647 (Sat, 22 May 2010 00:40:17 +0000):	@SeanCAJ baby i am looking for my second wind, have you seen it??? LOL
lele647 (Sat, 22 May 2010 00:45:36 +0000):	@Care2JoinMe good morning hunny
lele647 (Sat, 22 May 2010 00:48:13 +0000):	@Pianolady32 i used to always go to fernbank!!
lele647 (Sat, 22 May 2010 00:48:39 +0000):	@Care2JoinMe oh not much just a night at home, whats up for you today?
lele647 (Sat, 22 May 2010 00:49:00 +0000):	@Care2JoinMe luv you gorgeous
lele647 (Sat, 22 May 2010 00:49:58 +0000):	@WatkinsLadybeth I think i will have to go WWF on him!!
lele647 (Sat, 22 May 2010 00:55:36 +0000):	@SeanCAJ HUGSs baby have fun for me!!
lele647 (Sat, 22 May 2010 01:00:30 +0000):	@Whiteboy_Slim I had a nice Lisa vacation to ATL month ago, so relaxing, i think i just found my 2nd wind, how are ya hunny
lele647 (Sat, 22 May 2010 01:03:56 +0000):	@Care2JoinMe dm back
lele647 (Sat, 22 May 2010 01:06:18 +0000):	@WatkinsLadybeth LOL watching kirstie alley
lele647 (Sat, 22 May 2010 01:10:47 +0000):	@Pianolady32 oh i used to go in elementary school, i just stepped on my damn glasses
lele647 (Sat, 22 May 2010 01:16:14 +0000):	@WatkinsLadybeth I dont eat tose!! LOL
lele647 (Sat, 22 May 2010 01:16:47 +0000):	@M_Albee Oh I HUG you so much my dear friend!! Hope you are having a good one!
lele647 (Sat, 22 May 2010 01:17:17 +0000):	@M_Albee watching @kirstiealley, yes K you are hilarious
lele647 (Sat, 22 May 2010 01:19:01 +0000):	RT @DebJorge: Okay, here's Madey. She wants to be me..but is too much a bleeding heart liberal. http://tweetphoto.com/23395343 &gt; HUGS
lele647 (Sat, 22 May 2010 01:19:48 +0000):	@DebJorge hey baby have a drink for me!! miss ay luv ya!!
lele647 (Sat, 22 May 2010 01:20:56 +0000):	@Pianolady32 LOl that is when scjools had money we went twice a year, then my parents took me, how much is it
lele647 (Sat, 22 May 2010 01:21:43 +0000):	@dentaldiva1 DAMN girl did you see todays #YR, oh I really 99% think adam is alive
lele647 (Sat, 22 May 2010 01:22:43 +0000):	@Whiteboy_Slim I had a salad hubby is watching kirstie alley, i love it, last night we watched the hangover, I LOL until i was blue
lele647 (Sat, 22 May 2010 01:23:23 +0000):	@dentaldiva1 it is really good!!! how was your day hunny?
lele647 (Sat, 22 May 2010 01:23:32 +0000):	RT @danmon22: @Writers_Cafe @ericawrites @DyNama @VampWriter25 @lele647 Thank you all for the mentions. I love you guys HEAPS! ;D &gt; HUGS
lele647 (Sat, 22 May 2010 01:24:22 +0000):	@lele647 LOL @kirstiealley is killing me!! So funny
lele647 (Sat, 22 May 2010 01:25:36 +0000):	@L_I_Sound -----&gt;&gt; One of my #FF FAV!!! HUGS hunny
lele647 (Sat, 22 May 2010 01:26:28 +0000):	@dentaldiva1 always home on fri night, hubby unwinds and he is getting another clinic will be super busy, I LOVE HIM
lele647 (Sat, 22 May 2010 01:27:30 +0000):	@heathcrush Hi sweets!! How are you?
lele647 (Sat, 22 May 2010 01:29:22 +0000):	@L_I_Sound how are you sweetie?
lele647 (Sat, 22 May 2010 01:30:12 +0000):	@Whiteboy_Slim oh i cant rent movies babe, i dont return them , it is a flaw of mine!! LOL i just wait for on demand
lele647 (Sat, 22 May 2010 01:30:58 +0000):	@Boddingtons heyhunny how are you? watching @kirtiallley she is killing me!!
lele647 (Sat, 22 May 2010 01:33:52 +0000):	@L_I_Sound I am good think i will be out for a bit to skype CYL
lele647 (Sat, 22 May 2010 01:36:32 +0000):	@Boddingtons love it bbl hunny!!
lele647 (Sat, 22 May 2010 01:53:55 +0000):	@Pianolady32 that is crazy!!
lele647 (Sat, 22 May 2010 01:54:12 +0000):	@B4u3rFanZ28 whats up tonight hunny?
lele647 (Sat, 22 May 2010 05:00:35 +0000):	@bushido02 i am still rolling on the floor LMAO I love you baby
lele647 (Sat, 22 May 2010 05:03:49 +0000):	RT @NickDevious: listening to &quot;Tom Sawyer - RUSH&quot; ♫ http://blip.fm/~qt4p3&gt; hell yes!!!! thanks hunny how are you
lele647 (Sat, 22 May 2010 05:58:50 +0000):	hold on turing on the news hunny, def praying what the hell happenend
lele647 (Sat, 22 May 2010 14:20:27 +0000):	This is perfect!!! I woke up with a cold. My neck is fucking killing me. And I miss C. Now I have to go to philly. Shoot me now #jgf
lele647 (Sat, 22 May 2010 14:43:53 +0000):	@keeperofdreams you woke up with a quarter I woke up with an aching neck. Did we attend a party I don't know about?? LOL
lele647 (Sat, 22 May 2010 14:48:44 +0000):	@keeperofdreams I knew I would be sick (catching a cold) but girl we must have rocked!! What's up today? About to hit the shower 4 philly
lele647 (Sat, 22 May 2010 14:49:38 +0000):	@keeperofdreams lol seriously I have woken up with coins stuck to me too!!!
lele647 (Sat, 22 May 2010 14:55:59 +0000):	@keeperofdreams sounds like a plan!! I am gonna hit the shower CYL hunny. I might not go I really feel like crap
lele647 (Sat, 22 May 2010 14:56:55 +0000):	@keeperofdreams I usually wake up with it stuck to my body. Thinking. I need to wake up with some hundreds!! Lol
lele647 (Sat, 22 May 2010 18:38:38 +0000):	@victoriarowell watching you on CNN. You are beautiful hunny!!
lele647 (Sat, 22 May 2010 19:32:19 +0000):	Watching the history channel. This is awesome!! HUGS everyone I will get my laptop out soon. Hope everyone is having an awesome day #jgf
lele647 (Sun, 23 May 2010 00:50:52 +0000):	RT @DebJorge: @lele647 http://tweetphoto.com/23395343. Right back at ya! &gt; so glad you had fun!! HUGS
lele647 (Sun, 23 May 2010 00:51:57 +0000):	@hipcop hello my beautiful, first time on twitter today have to catch up, hope your having a greay day
lele647 (Sun, 23 May 2010 00:54:05 +0000):	Thanks sweetie!!RT @wmkim: #FF @lele647 @emgtay @terraM @LessaT @weakshadeofblue @LivingAsMom
lele647 (Sun, 23 May 2010 00:54:56 +0000):	HUGS @DebJorge @JamesFeudo @ASouthernYankee @SolarFred @xRAWSHiT_NiTROx @aM1NEm @KarlDetkenProDJ @wmkim @JavaJoeMyspace @tiagocarossi
lele647 (Sun, 23 May 2010 00:55:47 +0000):	@JasonSilvestri thanks for the shoutout hunny!!!
lele647 (Sun, 23 May 2010 00:56:10 +0000):	HUGS baby &lt;3 RT @TooCooL747: @LoriMoreno @lele647 @Luuiiiz @jhillstephens @MomsofAmerica @jawar @znaTrainer #FF #TooCooL #Love
lele647 (Sun, 23 May 2010 00:57:25 +0000):	HUGS @lurvewonderland @puffclean @TIG954 @nadnaddonat @rngohel @JasonSilvestri @zbleumoon @TooCooL747 @CALLOMES @coysbwizjet @libertyideals
lele647 (Sun, 23 May 2010 00:58:24 +0000):	HUGS @air_leben @booksilove @hoppets @M_Albee @clobrien @BB_06 @billybadbird @imsure @Frojack
lele647 (Sun, 23 May 2010 00:59:53 +0000):	@Boddingtons good hanging with my son about to watch the fight how are you?
lele647 (Sun, 23 May 2010 01:01:18 +0000):	I went to philly with hubby today lol hanging with my son right now waiting for the fight
lele647 (Sun, 23 May 2010 01:03:20 +0000):	THANKS @libertyideals @BB_06 @billybadbird @imsure @Frojack @BMoreGoHard @Plumb_Crazy @dentaldiva1 @keeperofdreams @KarenEJones @sparkie5150
lele647 (Sun, 23 May 2010 01:04:16 +0000):	THANKS AND HUGS @KarenEJones @SandraJane_UK @RazorRaySVP @BMoreGoHard @VoluptuousLynn @Apocalyptica @Svetlanakim @SoCalCoupons
lele647 (Sun, 23 May 2010 01:04:58 +0000):	@kelvinringold So many HUGS for you darlin!!! Hope you had a great day!!
lele647 (Sun, 23 May 2010 01:05:59 +0000):	@Whiteboy_Slim HUGS sweetie!!!
lele647 (Sun, 23 May 2010 01:08:08 +0000):	Happy Sat @satokoHI @Frojack @Blakkmoney @Martien2012 @alexism1964 @lowryagency @BenAndEfrat @WatkinsLadybeth @ASCBofficial
lele647 (Sun, 23 May 2010 01:09:00 +0000):	@coysbwizjet LOL young and the restless!! How are ya?
lele647 (Sun, 23 May 2010 01:09:22 +0000):	@Boddingtons waiting for the fight!!
lele647 (Sun, 23 May 2010 01:09:38 +0000):	@dentaldiva1 How are ya tonight?
lele647 (Sun, 23 May 2010 01:10:40 +0000):	@M_Albee Hi sweetie!!! How are ya?
lele647 (Sun, 23 May 2010 01:11:51 +0000):	@dentaldiva1 LOL I am glad hubby isnt watching it!!
lele647 (Sun, 23 May 2010 01:13:30 +0000):	@definitelydiane ah i am sick too, not bad but it isslowing me down, played on FB and went to philly today
lele647 (Sun, 23 May 2010 01:13:48 +0000):	@air_leben Hope your having a good nigth hunny
lele647 (Sun, 23 May 2010 01:14:16 +0000):	RT @BlondeTXGoddess: @lele647 hi Lisa!! Happy S-A-T-U-R-D-A-Y night &gt; back at ya hunny, waiting for my boxing, LOL
lele647 (Sun, 23 May 2010 01:14:28 +0000):	@BlondeTXGoddess HUGS sweetheart
lele647 (Sun, 23 May 2010 01:14:58 +0000):	@WatkinsLadybeth I am a bit under the weather but good, waiting for my boxing and my #krp
lele647 (Sun, 23 May 2010 01:15:37 +0000):	@M_Albee it was beautiful here too! I have the sniffles but doing great
lele647 (Sun, 23 May 2010 01:16:52 +0000):	@coysbwizjet following now hunny
lele647 (Sun, 23 May 2010 01:17:15 +0000):	@definitelydiane @hipcop I am moving slow too!!!
lele647 (Sun, 23 May 2010 01:17:40 +0000):	@Martien2012 gonna try and make church, but i am coughing
lele647 (Sun, 23 May 2010 01:19:31 +0000):	@WatkinsLadybeth I feel okay just coughing, I caught this at the grocery store, everyone was coughing i was like i am gonna get sick
lele647 (Sun, 23 May 2010 01:20:14 +0000):	@definitelydiane od i think me and @hipcop can run for that position!! LOL we are all #1 moms
lele647 (Sun, 23 May 2010 01:21:31 +0000):	@hipcop LOL hubby takes good care of me!! How are you hunny? what did you do today?
lele647 (Sun, 23 May 2010 01:21:48 +0000):	RT @coysbwizjet: @hipcop COOL; this @lele647 is all right &gt; HUGGING you now!!
lele647 (Sun, 23 May 2010 01:23:19 +0000):	@hipcop not bad at all, just the start of a cold, stuffy nose sore throat. Claritin has this!!! LMAO
lele647 (Sun, 23 May 2010 01:24:17 +0000):	@WatkinsLadybeth PPL were coughing everywhere, I knew i would catch something!! How is your night
lele647 (Sun, 23 May 2010 01:24:45 +0000):	@hipcop when is their school over?
lele647 (Sun, 23 May 2010 01:26:17 +0000):	@Martien2012 church hunny? That is where i go every SUN, for Jesus
lele647 (Sun, 23 May 2010 01:27:10 +0000):	@coysbwizjet @hipcop Oh it is getting better now, hell i went to philly today so not so bad, kids are doing all the chores, LMAO
lele647 (Sun, 23 May 2010 01:27:58 +0000):	@GumBootSally hi sweetie!! HUGS
lele647 (Sun, 23 May 2010 01:30:10 +0000):	@hipcop oh hunny it is 30 minutes away, hubby had to got o his office so i tagged along, LOL
lele647 (Sun, 23 May 2010 01:30:37 +0000):	RT @definitelydiane: @lele647 @definitelydiane od i think me and @hipcop can run==&gt;&gt;I know...we are all great moms LOL&gt; {{{HUGS}}}
lele647 (Sun, 23 May 2010 01:31:04 +0000):	@VoluptuousLynn hope you are having a great night/day!!
lele647 (Sun, 23 May 2010 01:32:01 +0000):	@coysbwizjet well i was born and raised in the great ATL!! Love me some mexican!!
lele647 (Sun, 23 May 2010 01:32:19 +0000):	@SeanCAJ there is my baby!!
lele647 (Sun, 23 May 2010 01:32:47 +0000):	@definitelydiane @hipcop how can you not love your kids even when you want to kill them
lele647 (Sun, 23 May 2010 01:33:28 +0000):	@WatkinsLadybeth if i get sick i have to have breathing treatments, so i manage it
lele647 (Sun, 23 May 2010 01:34:23 +0000):	@hipcop I like south street!! but we did not really go for pleasure, but i love a philly cheesesteak, we went to pats
lele647 (Sun, 23 May 2010 01:34:42 +0000):	@GumBootSally HUGS beautiful
lele647 (Sun, 23 May 2010 01:35:03 +0000):	RT @hipcop: @definitelydiane @lele647 Gotta admit...We Rock!! ;) &gt; HELL yes we do!!!
lele647 (Sun, 23 May 2010 01:35:27 +0000):	@WatkinsLadybeth i am about to watch the fight!!! cant freaking wait
lele647 (Sun, 23 May 2010 01:36:57 +0000):	@GumBootSally yes we got clouds around 2 but a great day!!
lele647 (Sun, 23 May 2010 01:38:51 +0000):	@hipcop LMAO LOL my fight comes on soon, no need for tackling he wants to watch too, LMAO
lele647 (Sun, 23 May 2010 01:39:40 +0000):	@WatkinsLadybeth always have loved it, not many ppl i know like it but my babe @DW034 LOL HUGS D lets kick butt!!1
lele647 (Sun, 23 May 2010 01:40:17 +0000):	@BerniePiekarski TNC hunny!! LOL you will lose brain cells watching @hipcop
lele647 (Sun, 23 May 2010 01:42:24 +0000):	@hipcop Oh yes babe, the biggest fight of the year I think tonight. I have always liked boxing Vasques VS Marquez
lele647 (Sun, 23 May 2010 01:42:52 +0000):	RT @hipcop: @BerniePiekarski LOL her hubby surfs all night...its hysterical!! @lele647 &gt; he is so damn funny they just dug up an alien!!
lele647 (Sun, 23 May 2010 01:43:51 +0000):	@hipcop okay @BerniePiekarski needs to really check out hubby TV, will have you LOL all night
lele647 (Sun, 23 May 2010 01:45:02 +0000):	@hipcop tonight is the 4th fight, these guys kick ass all over the place, i have not seen a good fight like theirs in 10 years
lele647 (Sun, 23 May 2010 01:45:45 +0000):	@zoomarang HUGS baby wont let me RT. How are you?
lele647 (Sun, 23 May 2010 01:48:31 +0000):	@hipcop when in june hunny, I am so close!!
lele647 (Sun, 23 May 2010 01:48:58 +0000):	@BerniePiekarski so close to me i am 30 minutes from philly
lele647 (Sun, 23 May 2010 01:52:40 +0000):	@hipcop OMG its great, krushradio.com you need to use monzilla to log on,
lele647 (Sun, 23 May 2010 01:53:04 +0000):	@hipcop log on and then go to chat its interactive going now
lele647 (Sun, 23 May 2010 01:53:32 +0000):	@hipcop its a party though hunny!! LOL not for kids
lele647 (Sun, 23 May 2010 01:58:16 +0000):	@hipcop i dont think @docnasty is on, looks like hubby has to entertain me again!!! #krp
lele647 (Sun, 23 May 2010 01:59:05 +0000):	RT @DocNasty: @hipcop Thats awesome! I'll be live on air shortlly! #KRP &gt; I am all alone in the chatroom!!
lele647 (Sun, 23 May 2010 02:17:07 +0000):	@hipcop LOL i have the remote!!
lele647 (Sun, 23 May 2010 02:19:01 +0000):	Here we go Marquex is coming in the ring!!!
lele647 (Sun, 23 May 2010 02:28:13 +0000):	VASQUEZ vs MARQUEX on showtime now!!!
lele647 (Sun, 23 May 2010 02:36:31 +0000):	@hipcop vasquez has a bad cut over his eye again!!
lele647 (Sun, 23 May 2010 02:39:09 +0000):	@hipcop over vasquez lost!! very short fight
lele647 (Sun, 23 May 2010 02:41:14 +0000):	@JasonSilvestri that fight was freaking disappointing!!!!! @hipcop
lele647 (Sun, 23 May 2010 02:41:35 +0000):	@hipcop LOL why we dont pay for fights, LOL
lele647 (Sun, 23 May 2010 02:42:42 +0000):	@DocNasty i am coming hunny
lele647 (Sun, 23 May 2010 05:34:48 +0000):	@DocNasty i just added someone named Medina to my FB, is that your wife hun? #krp
lele647 (Sun, 23 May 2010 05:47:45 +0000):	@DocNasty awesome!! she is def added! How about some green day basket case #krp
lele647 (Sun, 23 May 2010 06:15:39 +0000):	@DocNasty KICKED ASS AGAIN!!! #krp night hun
lele647 (Sun, 23 May 2010 06:24:58 +0000):	Check this video out -- Dave Matthews Band- Crush http://youtu.be/ay5kvPzvvTc
lele647 (Sun, 23 May 2010 06:33:15 +0000):	@alexism1964 good hunny!!! How are you?
lele647 (Sun, 23 May 2010 06:37:14 +0000):	@alexism1964 no sleeping for me I am wide awake!!
